Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP067,Male,No,0,Graduate,No,68000,33500,3500.0,360.0,1.0,Urban,N
LP068,Male,Yes,0,Graduate,Yes,69000,34000,3550.0,180.0,1.0,Rural,N
LP069,Male,No,1,Graduate,No,70000,34500,3600.0,360.0,1.0,Semiurban,N
LP070,Female,Yes,3,Graduate,Yes,71000,35000,3650.0,240.0,1.0,Urban,N
LP071,Male,No,0,Graduate,No,72000,35500,3700.0,360.0,1.0,Rural,N
LP072,Male,Yes,0,Graduate,Yes,73000,36000,3750.0,180.0,1.0,Semiurban,N
LP073,Male,No,2,Graduate,No,74000,36500,3800.0,360.0,1.0,Urban,N
LP074,Female,Yes,3,Graduate,Yes,75000,37000,3850.0,240.0,1.0,Rural,N
LP075,Male,No,0,Graduate,No,76000,37500,3900.0,360.0,1.0,Semiurban,N
LP076,Male,Yes,0,Graduate,Yes,77000,38000,3950.0,180.0,1.0,Urban,N
LP077,Male,No,1,Graduate,No,78000,38500,4000.0,360.0,1.0,Rural,N
